상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[253.48819398933915, 253.38975751332168, 253.4290983990411]",https://a-bly.com/app/goods/4433437,상세페이지 참조,./images/ably/man to man/man to man_113.jpg
의류,상의,맨투맨,69,상품 상세 참조,"[174.96490319746653, 63.62061878313685, 25.02929178825481]",https://a-bly.com/app/goods/526903,52,./images/ably/man to man/man to man_114.jpg
의류,상의,맨투맨,상세페이지 참조,"블랙, 아이보리, 그레이, 오렌지, 소라","[148.35007046579605, 144.98082968958957, 136.8692949806677]",https://a-bly.com/app/goods/1988809,상세페이지 참조,./images/ably/man to man/man to man_115.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4187457,상세페이지 참조,./images/ably/man to man/man to man_116.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[215.25225630699276, 208.32201823996533, 200.92841407082318]",https://a-bly.com/app/goods/4451486,상세페이지 참조,./images/ably/man to man/man to man_117.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[121.92795745753986, 116.89976390767099, 113.4724138721429]",https://a-bly.com/app/goods/4442207,상세페이지 참조,./images/ably/man to man/man to man_118.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[31.62540414829857, 31.554330768194518, 32.40131218214103]",https://a-bly.com/app/goods/3106069,상세페이지 참조,./images/ably/man to man/man to man_119.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[191.96646268910624, 191.96646268910624, 191.96646268910624]",https://a-bly.com/app/goods/3647390,상세페이지 참조,./images/ably/man to man/man to man_120.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[34.54518113466659, 34.54442925494092, 34.524265208469615]",https://a-bly.com/app/goods/3106610,상세페이지 참조,./images/ably/man to man/man to man_121.jpg
의류,상의,맨투맨,69,"네이비, 오트밀, 백염","[173.43800933786073, 174.73529286926993, 171.9878395585725]",https://a-bly.com/app/goods/3607023,53,./images/ably/man to man/man to man_122.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4372971,상세페이지 참조,./images/ably/man to man/man to man_123.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[38.793374982714994, 38.74482324588672, 40.65333783597515]",https://a-bly.com/app/goods/4449747,상세페이지 참조,./images/ably/man to man/man to man_124.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[216.026912954963, 214.01867024181936, 215.5852822880965]",https://a-bly.com/app/goods/4449745,상세페이지 참조,./images/ably/man to man/man to man_125.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[231.7143191608919, 235.1872073421983, 217.4929762127745]",https://a-bly.com/app/goods/3106539,상세페이지 참조,./images/ably/man to man/man to man_126.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[59.26790015561079, 63.13152004774152, 62.079103873127096]",https://a-bly.com/app/goods/4460248,상세페이지 참조,./images/ably/man to man/man to man_127.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[23.42305117028529, 23.352329370440444, 25.170577469607053]",https://a-bly.com/app/goods/4449749,상세페이지 참조,./images/ably/man to man/man to man_128.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[222.80678878375002, 222.12721590416098, 213.421043493351]",https://a-bly.com/app/goods/4456616,상세페이지 참조,./images/ably/man to man/man to man_129.jpg
의류,상의,맨투맨,58,"검정,소라,아이보리,회색","[211.88943442798808, 199.77626636616094, 182.73580704014373]",https://a-bly.com/app/goods/3782098,51,./images/ably/man to man/man to man_130.jpg
의류,상의,맨투맨,상세페이지 참조,"소라,레드,차콜,그린,네이비,그레이","[22.825429705796914, 21.903060343769802, 27.06431407364029]",https://a-bly.com/app/goods/3116556,상세페이지 참조,./images/ably/man to man/man to man_131.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[145.11378719215017, 142.81249893918744, 140.34069962829193]",https://a-bly.com/app/goods/2023849,상세페이지 참조,./images/ably/man to man/man to man_132.jpg
의류,상의,맨투맨,53,"오트밀, 핑크, 곤색","[142.88660944346378, 63.91477244751449, 71.16251169355192]",https://a-bly.com/app/goods/3738905,54,./images/ably/man to man/man to man_133.jpg
