상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,상의,후드,68,"그레이, 네이비, 레드(품절), 오트밀","[175.2344288513937, 153.97891559480288, 130.4071137341474]",https://a-bly.com/app/goods/1667158,51,./images/ably/Hood/Hood_67.jpg
의류,상의,후드,상세페이지 참조,"백메란지,핑크,그레이,블랙","[47.72705374199738, 51.75654124094626, 69.7774233740191]",https://a-bly.com/app/goods/3305364,상세페이지 참조,./images/ably/Hood/Hood_68.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[22.482738511780042, 23.46857609382866, 28.442217334791735]",https://a-bly.com/app/goods/3647393,상세페이지 참조,./images/ably/Hood/Hood_69.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[175.96985583224279, 172.5683925875553, 164.55795742986498]",https://a-bly.com/app/goods/4166411,상세페이지 참조,./images/ably/Hood/Hood_70.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[151.29285765200774, 128.76865778030927, 114.94994297526443]",https://a-bly.com/app/goods/4446132,상세페이지 참조,./images/ably/Hood/Hood_71.jpg
의류,상의,후드,73,"흰검, 소곤 , 먹검","[151.02399861213536, 148.18071244072473, 139.2845522186696]",https://a-bly.com/app/goods/3491766,60,./images/ably/Hood/Hood_72.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[175.11159691056866, 180.07034033782617, 183.78329705888447]",https://a-bly.com/app/goods/3647395,상세페이지 참조,./images/ably/Hood/Hood_73.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[30.820304600134975, 31.286647687494664, 30.913458098016108]",https://a-bly.com/app/goods/4230872,상세페이지 참조,./images/ably/Hood/Hood_74.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[216.26203006631337, 213.2190309867209, 216.24496731409698]",https://a-bly.com/app/goods/320861,상세페이지 참조,./images/ably/Hood/Hood_75.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[35.010077343024676, 27.58892174703999, 23.4433121019282]",https://a-bly.com/app/goods/1299739,상세페이지 참조,./images/ably/Hood/Hood_76.jpg
