상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,아우터,야상,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/1223435,상세페이지 참조,./images/ably/field/field_139.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[206.22685470436147, 191.16946213002285, 171.17806531114888]",https://a-bly.com/app/goods/2384185,상세페이지 참조,./images/ably/field/field_140.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[131.13152907843136, 120.8529611980965, 111.29505271098536]",https://a-bly.com/app/goods/499422,상세페이지 참조,./images/ably/field/field_141.jpg
의류,아우터,야상,74,"블랙, 차콜, 카키","[135.16698921758487, 140.00551216477803, 131.68701617362515]",https://a-bly.com/app/goods/1286758,42,./images/ably/field/field_142.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[29.27954201362209, 33.53930734292672, 38.742865253588946]",https://a-bly.com/app/goods/3779332,상세페이지 참조,./images/ably/field/field_143.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[201.30687565075328, 194.50572661015275, 187.1224341811693]",https://a-bly.com/app/goods/2945205,상세페이지 참조,./images/ably/field/field_144.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[215.82129554521566, 207.66050292185164, 179.22414620822417]",https://a-bly.com/app/goods/3198008,상세페이지 참조,./images/ably/field/field_145.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[17.825654291628922, 20.721853224262503, 26.917802791941796]",https://a-bly.com/app/goods/1330348,상세페이지 참조,./images/ably/field/field_146.jpg
의류,아우터,야상,48,"아이보리,다크그레이,베이지,카키","[24.51395151567931, 24.586075271206752, 24.56902093844377]",https://a-bly.com/app/goods/1860037,45,./images/ably/field/field_147.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[212.3005965646052, 209.79027668255299, 198.96948606301788]",https://a-bly.com/app/goods/455867,상세페이지 참조,./images/ably/field/field_148.jpg
의류,아우터,야상,52,"아이보리,소라","[164.543517324897, 162.27028399546998, 156.75967811242685]",https://a-bly.com/app/goods/601230,60,./images/ably/field/field_149.jpg
의류,아우터,야상,71,"베이지, 네이비","[146.25687366332053, 132.70281882815192, 117.68717365754051]",https://a-bly.com/app/goods/3570889,50,./images/ably/field/field_150.jpg
의류,아우터,야상,115,"블랙, 라이트그레이, 카키","[175.55764086540557, 170.8955680626553, 150.47893171264053]",https://a-bly.com/app/goods/1903867,56.5,./images/ably/field/field_151.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/3761450,상세페이지 참조,./images/ably/field/field_152.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[209.37011571027523, 205.53332809461506, 193.2157436693338]",https://a-bly.com/app/goods/3297845,상세페이지 참조,./images/ably/field/field_153.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[114.59315649531867, 108.87819701190054, 102.83815522916235]",https://a-bly.com/app/goods/3481801,상세페이지 참조,./images/ably/field/field_154.jpg
의류,아우터,야상,48,FREE,"[142.0804636472378, 117.50084327374307, 87.53935788538075]",https://a-bly.com/app/goods/546100,40.5,./images/ably/field/field_155.jpg
의류,아우터,야상,73,"카키, 블랙(품절), 베이지","[186.1133635111252, 169.4807518205075, 151.05351308797532]",https://a-bly.com/app/goods/2034269,59,./images/ably/field/field_156.jpg
의류,아우터,야상,92,"블랙, 베이지","[208.8125985872113, 204.22702489541976, 194.65446471434888]",https://a-bly.com/app/goods/3249225,65,./images/ably/field/field_157.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[196.74801552813307, 191.46800703014236, 185.0306120478205]",https://a-bly.com/app/goods/2894969,상세페이지 참조,./images/ably/field/field_158.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[165.22920292377253, 162.10515527710066, 136.6366941253814]",https://a-bly.com/app/goods/661561,상세페이지 참조,./images/ably/field/field_159.jpg
의류,아우터,야상,상세페이지 참조,FREE,"[160.91616776508965, 143.22166322885496, 134.16137579446826]",https://a-bly.com/app/goods/2445954,상세페이지 참조,./images/ably/field/field_160.jpg
의류,아우터,야상,상세페이지 참조,"카키,블랙","[51.91071238533294, 53.98088670368847, 48.95066300577734]",https://a-bly.com/app/goods/1222341,상세페이지 참조,./images/ably/field/field_161.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[198.09080558496052, 189.83410902262548, 185.98162315481653]",https://a-bly.com/app/goods/538697,상세페이지 참조,./images/ably/field/field_162.jpg
의류,아우터,야상,45,"카키,블랙","[31.849568988782963, 32.63613295661841, 36.251156261811374]",https://a-bly.com/app/goods/1252237,49,./images/ably/field/field_163.jpg
의류,아우터,야상,108,"블랙, 라이트그레이","[44.5782337610944, 45.35290139544331, 47.27051100188284]",https://a-bly.com/app/goods/1984621,58,./images/ably/field/field_164.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[55.94268350298236, 55.974058325811825, 52.096808830483624]",https://a-bly.com/app/goods/2111519,상세페이지 참조,./images/ably/field/field_165.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[175.1459570957121, 149.76947194719122, 133.47599009901268]",https://a-bly.com/app/goods/573239,상세페이지 참조,./images/ably/field/field_166.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[10.422425458457042, 10.313937753723451, 13.620829639303395]",https://a-bly.com/app/goods/3707936,상세페이지 참조,./images/ably/field/field_167.jpg
의류,아우터,야상,상세페이지 참조,"화이트 , 카키 , 블랙","[169.47896829065354, 168.29661643709036, 160.21933068318316]",https://a-bly.com/app/goods/2314560,상세페이지 참조,./images/ably/field/field_168.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[55.09901858426795, 56.569054082264294, 52.034161620388055]",https://a-bly.com/app/goods/1331364,상세페이지 참조,./images/ably/field/field_169.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[176.58525488976144, 161.44565851382328, 148.864194890539]",https://a-bly.com/app/goods/1869796,상세페이지 참조,./images/ably/field/field_170.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[159.1020004317459, 140.07512412750768, 131.6469381880957]",https://a-bly.com/app/goods/2447553,상세페이지 참조,./images/ably/field/field_171.jpg
의류,아우터,야상,45,상세페이지 참조,"[152.36623938304507, 145.965895471837, 139.11122401125576]",https://a-bly.com/app/goods/3849154,42,./images/ably/field/field_172.jpg
의류,아우터,야상,67,FREE,"[216.7093790405386, 213.99693332891604, 208.01113947551013]",https://a-bly.com/app/goods/59199,44,./images/ably/field/field_173.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[15.285981402861069, 13.978269658363416, 14.280473013955685]",https://a-bly.com/app/goods/3648425,상세페이지 참조,./images/ably/field/field_174.jpg
의류,아우터,야상,상세페이지 참조,크림/카키/다크그레이/베이지,"[77.86068569702256, 85.06020238634864, 70.39021295876218]",https://a-bly.com/app/goods/615064,상세페이지 참조,./images/ably/field/field_175.jpg
의류,아우터,야상,상세페이지 참조,"베이지,블랙,카키",[],https://a-bly.com/app/goods/556472,상세페이지 참조,./images/ably/field/field_176.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[160.30094662872415, 141.96358673558296, 117.28390150415417]",https://a-bly.com/app/goods/536682,상세페이지 참조,./images/ably/field/field_177.jpg
